KANTON LUZERN	employs_vernacular_name	Möhlin
KANTON LUZERN	employs_vernacular_name	Bez.
KANTON LUZERN	employs_vernacular_name	Fricktal
KANTON LUZERN	employs_vernacular_name	Bözen
KANTON LUZERN	employs_vernacular_name	Effingen
KANTON LUZERN	employs_vernacular_name	Oberaargau
KANTON LUZERN	employs_vernacular_name	Entlebuch
KANTON LUZERN	employs_vernacular_name	Räckholder
KANTON LUZERN	employs_vernacular_name	Räckholder
KANTON LUZERN	employs_vernacular_name	Räckholder
KANTON LUZERN	employs_vernacular_name	Bräukbeeristudä
KANTON LUZERN	employs_vernacular_name	Reickholder
KANTON LUZERN	employs_vernacular_name	Räckholder
KANTON LUZERN	employs_vernacular_name	Räckholder
KANTON LUZERN	employs_vernacular_name	Räckoltere
KANTON LUZERN	employs_vernacular_name	Reckholder
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Räukholder
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Räukholterä
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Räckholder
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Reikholder
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Reikholder
KANTON UNTERWALDEN OB DEM WALD	employs_vernacular_name	Sefi
KANTON UNTERWALDEN NID DEM WALD	employs_vernacular_name	Reikholter
KANTON UNTERWALDEN NID DEM WALD	employs_vernacular_name	Räukholder
KANTON UNTERWALDEN NID DEM WALD	employs_vernacular_name	Räukholtere
KANTON UNTERWALDEN NID DEM WALD	employs_vernacular_name	Räckholder
KANTON SCHAFFHAUSEN	employs_vernacular_name	Räckoltere
KANTON SCHAFFHAUSEN	employs_vernacular_name	Räckoltere
KANTON SCHAFFHAUSEN	employs_vernacular_name	Räckholder
KANTON SCHAFFHAUSEN	employs_vernacular_name	Bräukbeeristude
KANTON SCHAFFHAUSEN	employs_vernacular_name	Süütriiber
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Reckholdere
KANTON ZÜRICH	employs_vernacular_name	Reckholdere
KANTON ZÜRICH	employs_vernacular_name	Reckholdere
KANTON ZÜRICH	employs_vernacular_name	Reckholdere
KANTON ZÜRICH	employs_vernacular_name	Räckholdere
KANTON ZÜRICH	employs_vernacular_name	Räckholdere
KANTON ZÜRICH	employs_vernacular_name	Räckholder
KANTON ZÜRICH	employs_vernacular_name	Räckoldere
KANTON ZÜRICH	employs_vernacular_name	Räckoldere
KANTON ZUG	employs_vernacular_name	Räckholder
KANTON SCHWYZ	employs_vernacular_name	Räukholder
KANTON SCHWYZ	employs_vernacular_name	Räukholter
KANTON SCHWYZ	employs_vernacular_name	Räukholderä
KANTON SCHWYZ	employs_vernacular_name	Räukholterä
KANTON SCHWYZ	employs_vernacular_name	Räukholterä
KANTON SCHWYZ	employs_vernacular_name	Räukholterä
KANTON SCHWYZ	employs_vernacular_name	Bräukholder
KANTON SCHWYZ	employs_vernacular_name	Dräckholder
KANTON SCHWYZ	employs_vernacular_name	Dräckholderä
KANTON SCHWYZ	employs_vernacular_name	Dräckholderä
KANTON SCHWYZ	employs_vernacular_name	Dräckholderä
KANTON SCHWYZ	employs_vernacular_name	Dräckholderä
KANTON SCHWYZ	employs_vernacular_name	Dräckholterä
KANTON SCHWYZ	employs_vernacular_name	Dräckholterä
